Date,AAPL,GOOG,MSFT,AMZN
16-06-2021,129.955292,2527.419922,260.401489,3489.23999
17-06-2021,131.592834,2511.350098,258.934296,3486.899902
18-06-2021,130.264832,2529.100098,262.128174,3453.959961
21-06-2021,132.102081,2539.98999,265.002686,3505.439941
22-06-2021,133.779556,2529.22998,264.763123,3503.820068
23-06-2021,133.499985,2545.639893,266.18042,3449.080078
24-06-2021,133.210419,2539.899902,264.513611,3401.459961
25-06-2021,132.910873,2536.389893,268.206543,3443.889893
28-06-2021,134.578369,2520.370117,270.881409,3448.139893
29-06-2021,136.126053,2506.320068,270.382385,3440.159912
30-06-2021,136.755112,2527.370117,271.081055,3432.969971
01-07-2021,137.064651,2574.379883,277.119476,3510.97998
02-07-2021,139.750626,2595.419922,277.129456,3675.73999
06-07-2021,141.807541,2601.550049,279.395111,3696.580078
07-07-2021,144.353729,2583.540039,276.889923,3731.409912
08-07-2021,143.025711,2591.48999,277.408936,3719.340088
09-07-2021,144.892914,2611.280029,276.790131,3718.550049
12-07-2021,144.283829,2619.889893,280.443115,3677.360107
13-07-2021,145.422119,2641.649902,281.970215,3681.679932
14-07-2021,148.926865,2625.330078,280.493011,3631.199951
15-07-2021,148.257874,2636.909912,280.213562,3573.629883
16-07-2021,146.17099,2585.080078,276.480713,3549.590088
19-07-2021,142.236893,2622.030029,278.786285,3573.189941
20-07-2021,145.931351,2652.01001,280.862305,3585.199951
21-07-2021,145.18248,2666.570068,285.593262,3638.030029
22-07-2021,146.580383,2756.320068,289.116516,3656.639893
23-07-2021,148.337753,2792.889893,288.497681,3699.820068
26-07-2021,148.76712,2735.929932,285.992493,3626.389893
27-07-2021,146.55043,2727.629883,285.673096,3630.320068
28-07-2021,144.763107,2730.810059,285.952576,3599.919922
29-07-2021,145.422119,2704.419922,284.365601,3327.590088
30-07-2021,145.641785,2719.790039,284.275787,3331.47998
02-08-2021,145.302307,2725.600098,286.571381,3366.23999
03-08-2021,147.139542,2720.570068,285.962555,3354.719971
04-08-2021,146.730164,2738.800049,288.966797,3375.98999
05-08-2021,146.839996,2740.719971,288.906921,3344.939941
06-08-2021,146.139999,2760.040039,287.779053,3341.870117
09-08-2021,146.089996,2761.929932,285.8927,3320.679932
10-08-2021,145.600006,2753.790039,286.401733,3292.110107
11-08-2021,145.860001,2767.790039,289.256256,3303.5
12-08-2021,148.889999,2768.120117,292.290436,3293.969971
13-08-2021,149.100006,2778.320068,294.037109,3298.98999
16-08-2021,151.119995,2746.01001,292.519989,3241.959961
17-08-2021,150.190002,2731.399902,290.730011,3201.219971
18-08-2021,146.360001,2738.27002,296.769989,3187.75
19-08-2021,146.699997,2768.73999,304.359985,3199.949951
20-08-2021,148.190002,2821.98999,304.649994,3265.870117
23-08-2021,149.710007,2847.969971,302.619995,3305.780029
24-08-2021,149.619995,2859,302.01001,3299.179932
25-08-2021,148.360001,2842.459961,299.089996,3316
26-08-2021,147.539993,2891.01001,299.720001,3349.629883
27-08-2021,148.600006,2909.389893,303.589996,3421.570068
30-08-2021,153.119995,2909.23999,301.880005,3470.790039
31-08-2021,151.830002,2916.840088,301.829987,3479
01-09-2021,152.509995,2884.379883,301.149994,3463.120117
02-09-2021,153.649994,2895.5,301.140015,3478.050049
03-09-2021,154.300003,2910.379883,300.179993,3509.290039
